locus_tag,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon
b2620,smpB,NC_000913.3,,2754896,2755378,+,SsrA-binding protein,"Translation, ribosomal structure and biogenesis",P0A832,Op1478
b2622,intA,NC_000913.3,,2756159,2757400,+,CP4-57 prophage%3B integrase IntA,"Replication, recombination and repair",P32053,Op1479
b2623,yfjH,NC_000913.3,,2757644,2758600,-,CP4-57 prophage%3B uncharacterized protein YfjH,No COG annotation,P52123,Op1480
b2624,alpA,NC_000913.3,,2758644,2758856,+,CP4-57 prophage%3B DNA-binding transcriptional activator AlpA,Transcription,P33997,Op1481
b2625,yfjI,NC_000913.3,,2758985,2760394,+,CP4-57 prophage%3B protein YfjI,Function unknown,P52124,Op1482
b2626,yfjJ,NC_000913.3,,2760547,2761173,+,CP4-57 prophage%3B protein YfjJ,Function unknown,P52125,Op1483
b2627,abpB,NC_000913.3,,2761351,2763540,-,CP4-57 prophage%3B putative helicase YfjK,"Replication, recombination and repair",P52126,Op1484
b2628,abpA,NC_000913.3,,2763537,2765153,-,CP4-57 prophage%3B anti-bacteriophage protein,Function unknown,P52127,Op1484
b2629,yfjM,NC_000913.3,,2765513,2765776,-,CP4-57 prophage%3B protein YfjM,"Intracellular trafficking, secretion, and vesicular transport",P52128,Op1485
b2630,rnlA,NC_000913.3,,2765918,2766991,+,CP4-57 prophage%3B RNase LS%2C toxin of the RnlAB toxin-antitoxin system,Function unknown,P52129,Op1486
b2631,rnlB,NC_000913.3,,2766984,2767355,+,CP4-57 prophage%3B antitoxin RnlB,Function unknown,P52130,Op1486
b2632,yfjP,NC_000913.3,,2767710,2768573,+,CP4-57 prophage%3B putative GTP-binding protein YfjP,Function unknown,P52131,Op1487
b2633,yfjQ,NC_000913.3,,2768665,2769486,+,CP4-57 prophage%3B DUF932 domain-containing protein YfjQ,Function unknown,P52132,Op1487
b2634,yfjR,NC_000913.3,,2769703,2770404,+,CP4-57 prophage%3B putative DNA-binding transcriptional regulator YfjR,Transcription,P52133,Op1488
b2635,ypjK,NC_000913.3,,2770445,2770681,+,CP4-57 prophage%3B uncharacterized protein YpjK,Function unknown,P52134,Op1488
b2636,yfjS,NC_000913.3,,2770681,2771124,+,CP4-57 prophage%3B inner membrane lipoprotein YfjS,Transcription,O52982,Op1488
b2637,yfjT,NC_000913.3,,2771148,2771615,+,CP4-57 prophage%3B uncharacterized protein YfjT,No COG annotation,P52135,Op1488
b2638,yfjU,NC_000913.3,,2771840,2772154,-,CP4-57 prophage%3B putative arsenate reductase-like protein YfjU,Inorganic ion transport and metabolism,UPI000016814F,Op1489
b2642,yfjW,NC_000913.3,,2773318,2775021,+,CP4-57 prophage%3B uncharacterized protein YfjW,No COG annotation,P52138,Op1490
b2643,yfjX,NC_000913.3,,2775919,2776377,+,CP4-57 prophage%3B putative antirestriction protein YfjX,Function unknown,P52139,Op1491
b2644,yfjY,NC_000913.3,,2776386,2776868,+,CP4-57 prophage%3B RadC-like JAB domain-containing protein YfjY,Amino acid transport and metabolism,P52140,Op1491
b4548,ypjJ,NC_000913.3,,2776877,2777077,+,CP4-57 prophage%3B DUF987 domain-containing protein YpjJ,Function unknown,P58033,Op1491
b2645,yfjZ,NC_000913.3,,2777115,2777432,+,CP4-57 prophage%3B putative antitoxin of the YpjF-YfjZ toxin-antitoxin system,Function unknown,P52141,Op1491
b2646,ypjF,NC_000913.3,,2777453,2777782,+,CP4-57 prophage%3B toxin of the YpjF-YfjZ toxin-antitoxin system,Function unknown,Q46953,Op1491
b2647,ypjA,NC_000913.3,,2778146,2782726,-,adhesin-like autotransporter YpjA,Cell wall/membrane/envelope biogenesis,P52143,Op1492
b2649,ypjB,NC_000913.3,,2783638,2784429,-,DUF5508 domain-containing protein YpjB,No COG annotation,UPI000013BDF6,Op1493
b2650,ypjC,NC_000913.3,,2784529,2785011,-,DUF5507 domain-containing protein YpjC,No COG annotation,UPI000013BDF7,Op1494
b2659,glaH,NC_000913.3,,2788985,2789962,+,glutarate hydroxylase GlaH,Energy production and conversion,P76621,Op1495
b2660,lhgD,NC_000913.3,,2789982,2791250,+,L-2-hydroxyglutarate dehydrogenase,Energy production and conversion,P37339,Op1495
b2661,gabD,NC_000913.3,,2791273,2792721,+,succinate-semialdehyde dehydrogenase (NADP(+)) GabD,Energy production and conversion,P25526,Op1495
b2662,gabT,NC_000913.3,,2792735,2794015,+,4-aminobutyrate aminotransferase GabT,Amino acid transport and metabolism,P22256,Op1495
b2663,gabP,NC_000913.3,,2794253,2795653,+,4-aminobutanoate:H(+) symporter,Amino acid transport and metabolism,P25527,Op1495
b2664,glaR,NC_000913.3,,2795674,2796336,+,DNA-binding transcriptional repressor GlaR,Transcription,P37338,Op1496
b2665,kbp,NC_000913.3,,2796337,2796786,-,K(+) binding protein,Function unknown,P0ADE6,Op1497
b2666,yqaE,NC_000913.3,,2796870,2797028,-,Pmp3 family protein YqaE,Function unknown,P0AE42,Op1497
b2667,ygaV,NC_000913.3,,2797211,2797510,+,putative DNA-binding transcriptional regulator YgaV,Transcription,P77295,Op1498
b2668,ygaP,NC_000913.3,,2797520,2798044,+,thiosulfate sulfurtransferase YgaP,Inorganic ion transport and metabolism,P55734,Op1498
b2669,stpA,NC_000913.3,,2798091,2798495,-,DNA-binding transcriptional repressor StpA with RNA chaperone activity,Transcription,P0ACG1,Op1499
b2670,alaE,NC_000913.3,,2799164,2799613,+,L-alanine exporter,"Intracellular trafficking, secretion, and vesicular transport",P64550,Op1500
b2671,ygaC,NC_000913.3,,2799650,2799994,-,DUF2002 domain-containing protein YgaC,Function unknown,P0AD53,Op1501
b2672,ygaM,NC_000913.3,,2800146,2800475,+,DUF883 domain-containing protein YgaM,Function unknown,P0ADQ7,Op1502
b2673,nrdH,NC_000913.3,,2800723,2800968,+,glutaredoxin-like protein NrdH,"Post-translational modification, protein turnover, and chaperones",P0AC65,Op1503
b2674,nrdI,NC_000913.3,,2800965,2801375,+,dimanganese-tyrosyl radical cofactor maintenance flavodoxin NrdI,Nucleotide transport and metabolism,P0A772,Op1503
b2675,nrdE,NC_000913.3,,2801348,2803492,+,ribonucleoside-diphosphate reductase 2 subunit alpha,Nucleotide transport and metabolism,P39452,Op1503
b2676,nrdF,NC_000913.3,,2803502,2804461,+,ribonucleoside-diphosphate reductase 2 subunit beta,Nucleotide transport and metabolism,P37146,Op1503
b2677,proV,NC_000913.3,,2804815,2806017,+,glycine betaine ABC transporter ATP binding subunit ProV,Inorganic ion transport and metabolism,P14175,Op1504
b2678,proW,NC_000913.3,,2806010,2807074,+,glycine betaine ABC transporter membrane subunit ProW,Inorganic ion transport and metabolism,P14176,Op1504
b2679,proX,NC_000913.3,,2807132,2808124,+,glycine betaine ABC transporter periplasmic binding protein ProX,Amino acid transport and metabolism,P0AFM2,Op1504
b2682,ygaZ,NC_000913.3,,2809617,2810354,+,L-valine exporter%2C YgaZ component,Amino acid transport and metabolism,P76630,Op1505
b2683,ygaH,NC_000913.3,,2810344,2810679,+,L-valine exporter%2C YgaH component,Function unknown,P43667,Op1505
b2684,mprA,NC_000913.3,,2810770,2811300,+,DNA-binding transcriptional repressor MprA,Transcription,P0ACR9,Op1506
b2685,emrA,NC_000913.3,,2811427,2812599,+,multidrug efflux pump membrane fusion protein EmrA,Defense mechanisms,P27303,Op1506
b2686,emrB,NC_000913.3,,2812616,2814154,+,multidrug efflux pump membrane subunit EmrB,"Intracellular trafficking, secretion, and vesicular transport",P0AEJ0,Op1506
b2687,luxS,NC_000913.3,,2814218,2814733,-,S-ribosylhomocysteine lyase,Nucleotide transport and metabolism,P45578,Op1507
b2688,gshA,NC_000913.3,,2814883,2816439,-,glutamate--cysteine ligase,Coenzyme transport and metabolism,P0A6W9,Op1508
b2689,yqaA,NC_000913.3,,2816512,2816940,-,DedA family protein YqaA,Function unknown,P0ADR0,Op1509
b2690,yqaB,NC_000913.3,,2816937,2817503,-,fructose-1-phosphate phosphatase YqaB,Function unknown,P77475,Op1509
b2696,csrA,NC_000913.3,,2818961,2819146,-,carbon storage regulator,"Translation, ribosomal structure and biogenesis",P69913,Op1510
b2697,alaS,NC_000913.3,,2819381,2822011,-,alanine--tRNA ligase/DNA-binding transcriptional repressor,"Translation, ribosomal structure and biogenesis",P00957,Op1511
b2698,recX,NC_000913.3,,2822139,2822639,-,RecA inhibitor RecX,Function unknown,P33596,Op1512
b2699,recA,NC_000913.3,,2822708,2823769,-,DNA recombination/repair protein RecA,"Replication, recombination and repair",P0A7G6,Op1512
b2700,pncC,NC_000913.3,,2823849,2824346,-,NMN aminohydrolase,Function unknown,P0A6G3,Op1513
b2701,mltB,NC_000913.3,,2824491,2825576,-,membrane-bound lytic murein transglycosylase B,Cell wall/membrane/envelope biogenesis,P41052,Op1514
b2702,srlA,NC_000913.3,,2825832,2826395,+,sorbitol-specific PTS enzyme IIC2 component,Carbohydrate transport and metabolism,P56579,Op1515
b2703,srlE,NC_000913.3,,2826392,2827351,+,sorbitol-specific PTS enzyme IIBC1 component,Carbohydrate transport and metabolism,P56580,Op1515
b2704,srlB,NC_000913.3,,2827362,2827733,+,sorbitol-specific PTS enzyme IIA component,Carbohydrate transport and metabolism,P05706,Op1515
b2705,srlD,NC_000913.3,,2827737,2828516,+,sorbitol-6-phosphate 2-dehydrogenase,Lipid transport and metabolism,P05707,Op1515
b2706,gutM,NC_000913.3,,2828621,2828980,+,DNA-binding transcriptional activator GutM,Transcription,P15081,Op1515
b2707,srlR,NC_000913.3,,2829047,2829820,+,DNA-binding transcriptional repressor SrlR,Transcription,P15082,Op1515
b2708,gutQ,NC_000913.3,,2829813,2830778,+,D-arabinose 5-phosphate isomerase GutQ,Nucleotide transport and metabolism,P17115,Op1515
b2709,norR,NC_000913.3,,2830775,2832289,-,DNA-binding transcriptional dual regulator NorR,Transcription,P37013,Op1516
b2710,norV,NC_000913.3,,2832476,2833915,+,anaerobic nitric oxide reductase flavorubredoxin,Energy production and conversion,Q46877,Op1517
b2711,norW,NC_000913.3,,2833912,2835045,+,NADH:flavorubredoxin reductase,Energy production and conversion,P37596,Op1517
b2712,hypF,NC_000913.3,,2835173,2837425,-,carbamoyl--[HypE] ligase,"Post-translational modification, protein turnover, and chaperones",P30131,Op1518
b2713,hydN,NC_000913.3,,2837578,2838105,-,putative electron transport protein HydN,Energy production and conversion,P0AAK4,Op1518
b2714,ascG,NC_000913.3,,2838254,2839264,-,DNA-binding transcriptional repressor AscG,Transcription,P24242,Op1519
b2715,ascF,NC_000913.3,,2839524,2840981,+,beta-glucoside specific PTS enzyme IIBC component,Carbohydrate transport and metabolism,P24241,Op1520
b2716,ascB,NC_000913.3,,2840990,2842414,+,6-phospho-beta-glucosidase AscB,Carbohydrate transport and metabolism,P24240,Op1520
b2717,hycI,NC_000913.3,,2842573,2843043,-,hydrogenase 3 maturation protease,Energy production and conversion,P0AEV9,Op1521
b2718,hycH,NC_000913.3,,2843036,2843446,-,formate hydrogenlyase assembly protein,Amino acid transport and metabolism,P0AEV7,Op1521
b2719,hycG,NC_000913.3,,2843443,2844210,-,formate hydrogenlyase subunit HycG,Energy production and conversion,P16433,Op1521
b2720,hycF,NC_000913.3,,2844210,2844752,-,formate hydrogenlyase subunit HycF,Energy production and conversion,P16432,Op1521
b2721,hycE,NC_000913.3,,2844762,2846471,-,formate hydrogenlyase subunit HycE,Energy production and conversion,P16431,Op1521
b2722,hycD,NC_000913.3,,2846489,2847412,-,formate hydrogenlyase subunit HycD,Energy production and conversion,P16430,Op1521
b2723,hycC,NC_000913.3,,2847415,2849241,-,formate hydrogenlyase subunit HycC,Energy production and conversion,P16429,Op1521
b2724,hycB,NC_000913.3,,2849238,2849849,-,formate hydrogenlyase subunit HycB,Energy production and conversion,P0AAK1,Op1521
b2725,hycA,NC_000913.3,,2849974,2850435,-,regulator of the transcriptional regulator FhlA,Transcription,P0AEV4,Op1521
b2726,hypA,NC_000913.3,,2850647,2850997,+,hydrogenase 3 nickel incorporation protein HypA,Function unknown,P0A700,Op1522
b2727,hypB,NC_000913.3,,2851001,2851873,+,hydrogenase isoenzymes nickel incorporation protein HypB,Transcription,P0AAN3,Op1522
b2728,hypC,NC_000913.3,,2851864,2852136,+,hydrogenase 3 maturation protein HypC,"Post-translational modification, protein turnover, and chaperones",P0AAM3,Op1522
b2729,hypD,NC_000913.3,,2852136,2853257,+,Fe-(CN)2CO cofactor assembly scaffold protein HypD,"Post-translational modification, protein turnover, and chaperones",P24192,Op1522
b2730,hypE,NC_000913.3,,2853254,2854264,+,hydrogenase maturation protein%2C carbamoyl dehydratase,"Post-translational modification, protein turnover, and chaperones",P24193,Op1522
b2731,fhlA,NC_000913.3,,2854338,2856416,+,DNA-binding transcriptional activator FhlA,Transcription,P19323,Op1522
b2732,ygbA,NC_000913.3,,2856453,2856806,-,protein YgbA,Function unknown,P25728,Op1523
b2733,mutS,NC_000913.3,,2857093,2859654,+,DNA mismatch repair protein MutS,"Replication, recombination and repair",P23909,Op1524
b2734,pphB,NC_000913.3,,2859760,2860416,+,phosphoprotein phosphatase 2,Signal transduction mechanisms,P55799,Op1525
b2735,ygbI,NC_000913.3,,2860467,2861234,-,putative DeoR-type DNA-binding transcriptional regulator YgbI,Transcription,P52598,Op1526
b2736,ygbJ,NC_000913.3,,2861430,2862338,+,putative L-threonate dehydrogenase,Lipid transport and metabolism,Q46888,Op1527
b2737,ygbK,NC_000913.3,,2862335,2863501,+,putative 3-oxo-tetronate kinase YgbK,Function unknown,Q46889,Op1527
b2738,ygbL,NC_000913.3,,2863593,2864231,+,putative 3-oxo-tetronate 4-phosphate decarboxylase YgbL,Carbohydrate transport and metabolism,Q46890,Op1528
b2739,ygbM,NC_000913.3,,2864236,2865012,+,putative 2-oxo-tetronate isomerase YgbM,Carbohydrate transport and metabolism,Q46891,Op1528
b2740,ygbN,NC_000913.3,,2865101,2866465,+,putative transporter YgbN,Amino acid transport and metabolism,Q46892,Op1529
b2741,rpoS,NC_000913.3,,2866559,2867551,-,RNA polymerase%2C sigma S (sigma 38) factor,Transcription,P13445,Op1530
b2742,nlpD,NC_000913.3,,2867614,2868753,-,murein hydrolase activator NlpD,"Cell cycle control, cell division, chromosome partitioning",P0ADA3,Op1530
b2743,pcm,NC_000913.3,,2868893,2869519,-,L-isoaspartate protein carboxylmethyltransferase type II,"Translation, ribosomal structure and biogenesis",P0A7A5,Op1531
b2744,umpG,NC_000913.3,,2869513,2870274,-,broad specificity 5'(3')-nucleotidase and polyphosphatase,Nucleotide transport and metabolism,P0A840,Op1531
b2745,truD,NC_000913.3,,2870255,2871304,-,tRNA pseudouridine(13) synthase,"Translation, ribosomal structure and biogenesis",Q57261,Op1532
b2746,ispF,NC_000913.3,,2871301,2871780,-,2-C-methyl-D-erythritol 2%2C4-cyclodiphosphate synthase,Lipid transport and metabolism,P62617,Op1533
b2747,ispD,NC_000913.3,,2871780,2872490,-,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Lipid transport and metabolism,Q46893,Op1533
b2748,ftsB,NC_000913.3,,2872509,2872820,-,cell division protein FtsB,"Cell cycle control, cell division, chromosome partitioning",P0A6S5,Op1534
b2749,ygbE,NC_000913.3,,2873014,2873337,-,DUF3561 domain-containing inner membrane protein YgbE,Function unknown,P46141,Op1535
b2750,cysC,NC_000913.3,,2873387,2873992,-,adenylyl-sulfate kinase,Nucleotide transport and metabolism,P0A6J1,Op1536
b2751,cysN,NC_000913.3,,2873992,2875419,-,sulfate adenylyltransferase subunit 1,Coenzyme transport and metabolism,P23845,Op1536
b2752,cysD,NC_000913.3,,2875421,2876329,-,sulfate adenylyltransferase subunit 2,Coenzyme transport and metabolism,P21156,Op1536
b2753,iap,NC_000913.3,,2876581,2877618,+,alkaline phosphatase isozyme conversion protein,Function unknown,P10423,Op1537
b2754,cas2,NC_000913.3,,2878569,2878853,-,CRISPR-associated endoribonuclease Cas2,"Replication, recombination and repair",P45956,Op1538
b2755,cas1,NC_000913.3,,2878855,2879772,-,multifunctional nuclease Cas1,"Replication, recombination and repair",Q46896,Op1538
b2756,casE,NC_000913.3,,2879788,2880387,-,pre-CRISPR RNA endonuclease,"Translation, ribosomal structure and biogenesis",Q46897,Op1538
b2757,casD,NC_000913.3,,2880374,2881048,-,type I-E CRISPR system Cascade subunit CasD,"Translation, ribosomal structure and biogenesis",Q46898,Op1538
b2758,casC,NC_000913.3,,2881051,2882142,-,type I-E CRISPR system Cascade subunit CasC,"Replication, recombination and repair",Q46899,Op1538
b2759,casB,NC_000913.3,,2882155,2882637,-,type I-E CRISPR system Cascade subunit CasB,"Replication, recombination and repair",P76632,Op1538
b2760,casA,NC_000913.3,,2882630,2884138,-,type I-E CRISPR system Cascade subunit CasA,"Replication, recombination and repair",Q46901,Op1538
b2761,cas3,NC_000913.3,,2884553,2887219,-,CRISPR-associated endonuclease/helicase Cas3,"Replication, recombination and repair",P38036,Op1539
b2762,cysH,NC_000913.3,,2887578,2888312,-,phosphoadenosine phosphosulfate reductase,Amino acid transport and metabolism,P17854,Op1540
b2763,cysI,NC_000913.3,,2888387,2890099,-,sulfite reductase%2C hemoprotein subunit,Coenzyme transport and metabolism,P17846,Op1540
b2764,cysJ,NC_000913.3,,2890099,2891898,-,sulfite reductase%2C flavoprotein subunit,Amino acid transport and metabolism,P38038,Op1540
b2765,queD,NC_000913.3,,2892214,2892579,+,6-carboxy-5%2C6%2C7%2C8-tetrahydropterin synthase,Nucleotide transport and metabolism,P65870,Op1541
b2766,ygcN,NC_000913.3,,2892657,2893928,+,putative oxidoreductase with FAD/NAD(P)-binding domain,Energy production and conversion,Q46904,Op1542
b2767,ygcO,NC_000913.3,,2893919,2894179,+,putative 4Fe-4S cluster-containing protein,Energy production and conversion,Q46905,Op1542
b2768,ygcP,NC_000913.3,,2894196,2894771,+,putative anti-terminator regulatory protein,Transcription,Q46906,Op1542
b2769,ygcQ,NC_000913.3,,2894919,2895779,-,putative flavoprotein,Energy production and conversion,Q46907,Op1543
b2770,ygcR,NC_000913.3,,2895776,2896555,-,putative flavoprotein,Energy production and conversion,Q46908,Op1543
b2771,ygcS,NC_000913.3,,2896533,2897870,-,putative transporter YgcS,Inorganic ion transport and metabolism,Q46909,Op1544
b4463,ygcU,NC_000913.3,,2897964,2899418,-,putative FAD-containing dehydrogenase,Energy production and conversion,Q46911,Op1545
b2774,ygcW,NC_000913.3,,2899488,2900273,-,putative deoxygluconate dehydrogenase,Lipid transport and metabolism,P76633,Op1546
b2775,yqcE,NC_000913.3,,2900592,2901869,+,putative transport protein YqcE,Inorganic ion transport and metabolism,P77031,Op1547
b2776,ygcE,NC_000913.3,,2901896,2903374,+,putative sugar kinase YgcE,Carbohydrate transport and metabolism,P55138,Op1547
b2777,queE,NC_000913.3,,2904747,2905418,-,putative 7-carboxy-7-deazaguanine synthase QueE,Nucleotide transport and metabolism,P64554,Op1548
b4682,yqcG,NC_000913.3,,2905557,2905697,+,cell envelope stress response protein YqcG,No COG annotation,C1P612,Op16
b2778,ygcG,NC_000913.3,,2905711,2906583,+,protein YgcG,Function unknown,P55140,Op1549
b2779,eno,NC_000913.3,,2906643,2907941,-,enolase,Nucleotide transport and metabolism,P0A6P9,Op1550
b2780,pyrG,NC_000913.3,,2908029,2909666,-,CTP synthetase,Nucleotide transport and metabolism,P0A7E5,Op1550
b2781,mazG,NC_000913.3,,2909894,2910685,-,nucleoside triphosphate pyrophosphohydrolase,Nucleotide transport and metabolism,P0AEY3,Op1551
b2782,mazF,NC_000913.3,,2910756,2911091,-,endoribonuclease toxin MazF,Signal transduction mechanisms,P0AE70,Op1551
b2783,mazE,NC_000913.3,,2911091,2911339,-,antitoxin of the MazF-MazE toxin-antitoxin system MazE,Transcription,P0AE72,Op1551
b2784,relA,NC_000913.3,,2911417,2913651,-,GDP/GTP pyrophosphokinase,Nucleotide transport and metabolism,P0AG20,Op1551
b2785,rlmD,NC_000913.3,,2913699,2915000,-,23S rRNA m(5)U1939 methyltransferase,"Translation, ribosomal structure and biogenesis",P55135,Op1552
b2786,barA,NC_000913.3,,2915057,2917813,+,sensor histidine kinase BarA,Signal transduction mechanisms,P0AEC5,Op1553
b2787,gudD,NC_000913.3,,2918045,2919385,-,D-glucarate dehydratase,Cell wall/membrane/envelope biogenesis,P0AES2,Op1554
b2788,gudX,NC_000913.3,,2919406,2920746,-,glucarate dehydratase-related protein,Cell wall/membrane/envelope biogenesis,Q46915,Op1554
b2789,gudP,NC_000913.3,,2920748,2922100,-,galactarate/D-glucarate transporter GudP,Inorganic ion transport and metabolism,Q46916,Op1554
b2790,yqcA,NC_000913.3,,2922535,2922984,-,putative flavodoxin YqcA,Energy production and conversion,P65367,Op1555
b2791,truC,NC_000913.3,,2923002,2923784,-,tRNA pseudouridine(65) synthase,"Translation, ribosomal structure and biogenesis",P0AA41,Op1555
b2792,yqcC,NC_000913.3,,2923784,2924113,-,DUF446 domain-containing protein YqcC,Function unknown,Q46919,Op1555
b2793,syd,NC_000913.3,,2924735,2925280,-,SecY-interacting protein,Function unknown,P0A8U0,Op1556
b2794,queF,NC_000913.3,,2925348,2926196,+,7-cyano-7-deazaguanine reductase,Nucleotide transport and metabolism,Q46920,Op1557
b2795,ppnN,NC_000913.3,,2926308,2927672,+,nucleotide 5'-monophosphate nucleosidase,Function unknown,P0ADR8,Op1558
b2796,sdaC,NC_000913.3,,2928229,2929518,+,L-serine:H(+) symporter SdaC,Amino acid transport and metabolism,P0AAD6,Op1559
b2797,sdaB,NC_000913.3,,2929576,2930943,+,L-serine deaminase II,Amino acid transport and metabolism,P30744,Op1559
b2798,ygdG,NC_000913.3,,2931055,2931810,+,flap endonuclease,"Replication, recombination and repair",P38506,Op1560
b2799,fucO,NC_000913.3,,2931865,2933013,-,L-1%2C2-propanediol oxidoreductase,Energy production and conversion,P0A9S1,Op1561
b2800,fucA,NC_000913.3,,2933041,2933688,-,L-fuculose-phosphate aldolase,Carbohydrate transport and metabolism,P0AB87,Op1561
b2801,fucP,NC_000913.3,,2934235,2935551,+,L-fucose:H(+) symporter,Inorganic ion transport and metabolism,P11551,Op1562
b2802,fucI,NC_000913.3,,2935584,2937359,+,L-fucose isomerase,Carbohydrate transport and metabolism,P69922,Op1562
b2803,fucK,NC_000913.3,,2937468,2938886,+,L-fuculokinase,Nucleotide transport and metabolism,P11553,Op1562
b2804,fucU,NC_000913.3,,2938888,2939310,+,L-fucose mutarotase,Carbohydrate transport and metabolism,P0AEN8,Op1562
b2805,fucR,NC_000913.3,,2939368,2940099,+,DNA-binding transcriptional activator FucR,Transcription,P0ACK8,Op1562
b2806,rlmM,NC_000913.3,,2940143,2941243,-,23S rRNA 2'-O-ribose C2498 methyltransferase,"Translation, ribosomal structure and biogenesis",P0ADR6,Op1563
b2807,ygdD,NC_000913.3,,2941236,2941631,-,DUF423 domain-containing inner membrane protein YgdD,Function unknown,P0ADR2,Op1564
b2808,gcvA,NC_000913.3,,2941650,2942567,-,DNA-binding transcriptional dual regulator GcvA,Transcription,P0A9F6,Op1565
b2809,ygdI,NC_000913.3,,2942918,2943145,-,DUF903 domain-containing lipoprotein YgdI,Cell wall/membrane/envelope biogenesis,P65292,Op1566
b2810,csdA,NC_000913.3,,2943337,2944542,+,cysteine sulfinate desulfinase,Amino acid transport and metabolism,Q46925,Op1567
b2811,csdE,NC_000913.3,,2944542,2944985,+,sulfur acceptor protein CsdE,Function unknown,P0AGF2,Op1567
b2812,tcdA,NC_000913.3,,2945036,2945842,-,tRNA threonylcarbamoyladenosine dehydratase,Coenzyme transport and metabolism,Q46927,Op1568
b2813,mltA,NC_000913.3,,2946081,2947178,-,membrane-bound lytic murein transglycosylase A,Cell wall/membrane/envelope biogenesis,P0A935,Op1569
b2817,amiC,NC_000913.3,,2947757,2949010,-,N-acetylmuramoyl-L-alanine amidase C,Cell wall/membrane/envelope biogenesis,P63883,Op1570
b2818,argA,NC_000913.3,,2949242,2950573,+,N-acetylglutamate synthase,Amino acid transport and metabolism,P0A6C5,Op1571
b2819,recD,NC_000913.3,,2950635,2952461,-,exodeoxyribonuclease V subunit RecD,"Replication, recombination and repair",P04993,Op1572
b2820,recB,NC_000913.3,,2952461,2956003,-,exodeoxyribonuclease V subunit RecB,"Replication, recombination and repair",P08394,Op1572
b2821,ptrA,NC_000913.3,,2955996,2958884,-,protease 3,"Post-translational modification, protein turnover, and chaperones",P05458,Op1572
b2822,recC,NC_000913.3,,2959060,2962428,-,exodeoxyribonuclease V subunit RecC,"Replication, recombination and repair",P07648,Op1573
b2823,ppdC,NC_000913.3,,2962441,2962764,-,prepilin-type N-terminal cleavage/methylation domain-containing protein PpdC,Cell motility,P08372,Op1573
b2824,ygdB,NC_000913.3,,2962749,2963156,-,DUF2509 domain-containing protein YgdB,Function unknown,P08370,Op1573
b2825,ppdB,NC_000913.3,,2963153,2963716,-,prepilin-type N-terminal cleavage/methylation domain-containing protein PpdB,"Intracellular trafficking, secretion, and vesicular transport",P08371,Op1573
b2826,ppdA,NC_000913.3,,2963707,2964177,-,prepilin-type N-terminal cleavage/methylation domain-containing protein PpdA,Cell motility,P33554,Op1573
b2827,thyA,NC_000913.3,,2964361,2965155,-,thymidylate synthase,Nucleotide transport and metabolism,P0A884,Op1574
b2828,lgt,NC_000913.3,,2965162,2966037,-,phosphatidylglycerol--prolipoprotein diacylglyceryl transferase,Cell wall/membrane/envelope biogenesis,P60955,Op1574
b2829,ptsP,NC_000913.3,,2966188,2968434,-,phosphoenolpyruvate-protein phosphotransferase PtsP,Signal transduction mechanisms,P37177,Op1575
b2830,rppH,NC_000913.3,,2968447,2968977,-,RNA pyrophosphohydrolase,"Replication, recombination and repair",P0A776,Op1575
b4610,ygdT,NC_000913.3,,2969330,2969476,-,YgdT,No COG annotation,UPI00000D0EED,Op16
b2831,mutH,NC_000913.3,,2969662,2970351,+,DNA mismatch repair protein MutH,"Replication, recombination and repair",P06722,Op1576
b2832,ygdQ,NC_000913.3,,2970420,2971133,+,UPF0053 inner membrane protein YgdQ,Inorganic ion transport and metabolism,P67127,Op1577
b2833,ygdR,NC_000913.3,,2971271,2971489,+,DUF903 domain-containing lipoprotein YgdR,Function unknown,P65294,Op1578
b2834,tas,NC_000913.3,,2971597,2972637,+,putative NADP(H)-dependent aldo-keto reductase Tas,Energy production and conversion,P0A9T4,Op1579
b2835,lplT,NC_000913.3,,2972669,2973862,-,lysophospholipid transporter,Amino acid transport and metabolism,P39196,Op1580
b2836,aas,NC_000913.3,,2973855,2976014,-,fused 2-acylglycerophospho-ethanolamine acyltransferase/acyl-acyl carrier protein synthetase,Lipid transport and metabolism,P31119,Op1580
b2837,galR,NC_000913.3,,2976599,2977630,+,DNA-binding transcriptional dual regulator GalR,Transcription,P03024,Op1581
b2838,lysA,NC_000913.3,,2977637,2978899,-,diaminopimelate decarboxylase,Amino acid transport and metabolism,P00861,Op1582
b2839,lysR,NC_000913.3,,2979021,2979956,+,DNA-binding transcriptional dual regulator LysR,Transcription,P03030,Op1583
b2840,ygeA,NC_000913.3,,2979943,2980635,-,amino acid racemase YgeA,Cell wall/membrane/envelope biogenesis,P03813,Op1584
b2841,araE,NC_000913.3,,2980764,2982182,-,arabinose:H(+) symporter,Amino acid transport and metabolism,P0AE24,Op1584
b2842,kduD,NC_000913.3,,2982497,2983258,-,putative 2-keto-3-deoxy-D-gluconate dehydrogenase,Lipid transport and metabolism,P37769,Op1585
b2843,kduI,NC_000913.3,,2983288,2984124,-,5-dehydro-4-deoxy-D-glucuronate isomerase,Carbohydrate transport and metabolism,Q46938,Op1586
b2844,yqeF,NC_000913.3,,2984411,2985592,-,putative acyltransferase,Lipid transport and metabolism,Q46939,Op1587
